"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
54,4,1,941,36,4,1,959,19,4,1,976,7,3,2,988,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.340440290711082,0.742343377732834
96,5,0,899,57,4,1,938,25,3,2,970,9,2,3,986,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.352245400493763,0.764801678173485
68,4,1,927,42,3,2,953,22,3,2,973,8,3,2,987,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.333445333604005,0.734921810235003
79,3,2,916,46,2,3,949,24,2,3,971,8,2,3,987,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.333620469484845,0.824648704796307
98,5,0,897,57,5,0,938,33,3,2,962,17,3,2,978,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.361954145379711,0.779721452508397
81,4,1,914,56,4,1,939,41,4,1,954,18,3,2,977,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.330919971413963,0.750468758376365
55,4,1,940,35,4,1,960,18,4,1,977,4,4,1,991,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.34486292092511,0.714308548952592
85,5,0,910,55,5,0,940,34,5,0,961,16,3,2,979,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.364145256022443,0.801194305126545
70,4,1,925,53,4,1,942,23,4,1,972,11,4,1,984,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.355908208026046,0.75463238453201
75,4,1,920,39,4,1,956,21,3,2,974,10,3,2,985,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.359603364122823,0.73795238899645
83,5,0,912,54,3,2,941,34,3,2,961,15,3,2,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.364562990028646,0.743203481268484
81,3,2,914,56,3,2,939,24,3,2,971,12,2,3,983,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.338544137694625,0.834957433193198
55,4,1,940,36,4,1,959,18,4,1,977,4,3,2,991,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.327034473212817,0.742638799046341
99,4,1,896,71,3,2,924,42,3,2,953,15,2,3,980,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.377785646988245,0.84506032429502
41,4,1,954,29,4,1,966,17,4,1,978,4,3,2,991,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.304605319290296,0.670646062470798
69,5,0,926,45,5,0,950,27,3,2,968,18,3,2,977,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.361031197990026,0.741083945632807
94,3,2,901,53,3,2,942,36,3,2,959,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.3702359874551,0.781471859526443
80,3,2,915,58,3,2,937,27,3,2,968,11,2,3,984,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.380679694889101,0.777312804209633
104,4,1,891,69,4,1,926,46,4,1,949,22,3,2,973,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.392542457091759,0.820668702340515
65,4,1,930,30,4,1,965,16,4,1,979,9,3,2,986,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.324873084045397,0.797943788277662
147,4,1,848,109,4,1,886,72,4,1,923,30,4,1,965,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.389367625572617,0.762561427079895
102,5,0,893,64,5,0,931,42,5,0,953,17,5,0,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.36530085732747,0.744952932668847
58,4,1,937,41,3,2,954,25,3,2,970,10,3,2,985,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.371010798693857,0.764655931775194
76,5,0,919,52,4,1,943,26,4,1,969,7,3,2,988,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.360592068518888,0.760025057803007
66,1,4,929,42,1,4,953,23,1,4,972,4,1,4,991,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0.418015481691841,0.683114183288037
71,5,0,924,40,4,1,955,22,4,1,973,9,2,3,986,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.329341311298887,0.752826802821653
106,4,1,889,74,3,2,921,37,2,3,958,17,2,3,978,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.3527706316711,0.825364387175515
76,4,1,919,48,4,1,947,25,4,1,970,9,3,2,986,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.351726116985368,0.816460738095069
70,3,2,925,44,3,2,951,18,3,2,977,6,3,2,989,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.331895835693148,0.798237253913646
91,4,1,904,56,4,1,939,29,4,1,966,12,4,1,983,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.374179779213726,0.73750664610472
154,4,1,841,111,4,1,884,72,4,1,923,36,3,2,959,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.400734015540561,0.701812878979558
71,3,2,924,41,3,2,954,19,3,2,976,8,3,2,987,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.338753173041669,0.748486179168144
60,4,1,935,38,4,1,957,24,4,1,971,9,4,1,986,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.347610550594855,0.713899673770802
70,5,0,925,51,4,1,944,31,4,1,964,11,3,2,984,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.342557179587041,0.77188398075564
46,3,2,949,33,3,2,962,19,3,2,976,8,2,3,987,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.320573702970519,0.754581234439791
87,3,2,908,58,3,2,937,34,3,2,961,15,2,3,980,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.36023005526268,0.7305710949469
81,4,1,914,45,4,1,950,28,3,2,967,6,3,2,989,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.346932255402673,0.758017351493149
150,3,2,845,106,3,2,889,67,3,2,928,24,3,2,971,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.397066993096569,0.770531393163926
71,4,1,924,42,4,1,953,28,4,1,967,10,2,3,985,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.352269710037463,0.751152334188958
137,3,2,858,93,2,3,902,52,2,3,943,27,2,3,968,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.368314807580894,0.731511262904096
114,4,1,881,80,4,1,915,42,4,1,953,17,4,1,978,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.374454818008599,0.857302278300749
75,4,1,920,52,4,1,943,24,4,1,971,10,2,3,985,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.358608204916209,0.829169509859762
100,3,2,895,67,3,2,928,37,3,2,958,18,3,2,977,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.370589832382504,0.783425245778933
61,3,2,934,45,3,2,950,32,3,2,963,17,3,2,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.347249682056339,0.754393310999959
90,4,1,905,57,4,1,938,30,3,2,965,14,3,2,981,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.35334571445982,0.650521278190247
83,4,1,912,58,3,2,937,35,3,2,960,22,3,2,973,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.348625040475604,0.768147671903698
67,3,2,928,45,3,2,950,26,3,2,969,11,3,2,984,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.34646973533557,0.740166995173403
101,3,2,894,70,3,2,925,39,3,2,956,19,3,2,976,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.368853562623264,0.694217068482595
50,3,2,945,30,3,2,965,15,3,2,980,3,3,2,992,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.303518502211939,0.832076734774057
54,2,3,941,27,2,3,968,13,2,3,982,2,2,3,993,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.373898945041224,0.72841635628415
162,4,1,833,121,4,1,874,80,4,1,915,38,3,2,957,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.424039554196406,0.788411980620742
110,4,1,885,74,4,1,921,45,4,1,950,19,4,1,976,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.374328194254515,0.78332651258435
114,4,1,881,81,3,2,914,55,3,2,940,28,2,3,967,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.411190100897342,0.786480794642837
77,3,2,918,49,3,2,946,31,3,2,964,13,2,3,982,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.344233231097019,0.810319538415305
88,3,2,907,57,3,2,938,38,3,2,957,13,2,3,982,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.363718817493363,0.769642968549327
88,4,1,907,55,4,1,940,23,4,1,972,10,3,2,985,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.367172167045734,0.815095268272021
70,3,2,925,40,3,2,955,20,3,2,975,8,3,2,987,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.363233506114501,0.739747423103411
94,4,1,901,59,4,1,936,33,4,1,962,13,4,1,982,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.344697863948039,0.747006603995104
65,3,2,930,43,3,2,952,28,3,2,967,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.342348463268191,0.759209777698409
64,4,1,931,34,4,1,961,18,4,1,977,8,4,1,987,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.345224470002468,0.752991938549149
62,5,0,933,36,5,0,959,24,5,0,971,5,3,2,990,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.329555787277689,0.726669011244334
64,4,1,931,37,3,2,958,19,3,2,976,3,3,2,992,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.35590170003117,0.73999012707919
76,4,1,919,51,4,1,944,35,4,1,960,21,4,1,974,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0.380795705616873,0.733700282750228
104,5,0,891,66,4,1,929,40,3,2,955,18,2,3,977,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.394567161358276,0.832405519322607
95,4,1,900,63,4,1,932,42,4,1,953,17,3,2,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.373994052116928,0.761149744864211
56,3,2,939,36,3,2,959,21,3,2,974,9,3,2,986,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.321754340395722,0.718613972723348
63,5,0,932,38,5,0,957,19,4,1,976,8,3,2,987,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.320993347246376,0.762629763539046
99,4,1,896,43,4,1,952,20,4,1,975,8,4,1,987,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.30422890222216,0.79130505467405
96,4,1,899,58,4,1,937,24,3,2,971,12,3,2,983,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.373599969746193,0.754433453707233
93,5,0,902,60,4,1,935,35,4,1,960,15,3,2,980,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0.359948098991475,0.71024314333324
77,4,1,918,57,4,1,938,28,4,1,967,5,3,2,990,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.363173294133093,0.774170478828046
76,3,2,919,53,3,2,942,24,3,2,971,10,3,2,985,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.358917555093178,0.799984225009849
103,3,2,892,64,3,2,931,44,3,2,951,17,3,2,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.368706151940251,0.749805947464253
99,5,0,896,69,5,0,926,45,4,1,950,20,2,3,975,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.384927600958065,0.772443735397901
85,5,0,910,56,4,1,939,29,2,3,966,9,1,4,986,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.341414778299712,0.781977248207918
105,5,0,890,70,5,0,925,42,5,0,953,14,4,1,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.403348583348786,0.775996409785319
122,3,2,873,85,3,2,910,46,3,2,949,15,2,3,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.406881693571313,0.707722856066391
99,1,4,896,63,1,4,932,39,1,4,956,22,1,4,973,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.381901547250887,0.780735684017313
79,3,2,916,45,3,2,950,24,3,2,971,12,1,4,983,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.340182275100758,0.748587040055444
101,3,2,894,66,3,2,929,31,3,2,964,10,3,2,985,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.382411141187712,0.746637056000878
86,4,1,909,54,4,1,941,34,4,1,961,18,4,1,977,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.365656560125755,0.766373194760394
86,4,1,909,61,4,1,934,38,4,1,957,15,4,1,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.372225733007247,0.73100141132993
98,5,0,897,64,4,1,931,36,3,2,959,17,2,3,978,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.367046222304002,0.76519746215206
98,4,1,897,66,4,1,929,39,4,1,956,15,3,2,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.360177354339449,0.754769896679646
71,5,0,924,43,5,0,952,31,2,3,964,11,2,3,984,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.36149261756654,0.692367247985294
73,3,2,922,43,3,2,952,22,3,2,973,7,3,2,988,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.355127126307896,0.778072548292019
78,4,1,917,52,4,1,943,32,4,1,963,15,4,1,980,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0.377353886690195,0.743065054829276
70,5,0,925,46,3,2,949,28,3,2,967,10,2,3,985,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.348241922941649,0.74265945640317
70,4,1,925,44,4,1,951,21,4,1,974,9,3,2,986,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.355728664625146,0.725475088899713
83,4,1,912,55,3,2,940,34,3,2,961,15,3,2,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.360354734267679,0.756782530576283
116,5,0,879,77,4,1,918,56,4,1,939,26,4,1,969,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.393650101363394,0.740486092502021
97,3,2,898,60,3,2,935,37,3,2,958,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.345708586402614,0.75280857669346
98,4,1,897,59,4,1,936,44,2,3,951,19,2,3,976,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.380812139062989,0.828609792659778
67,3,2,928,50,3,2,945,25,3,2,970,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.357746123054137,0.743516043271869
115,5,0,880,77,5,0,918,43,3,2,952,18,3,2,977,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.375759425873089,0.784747573265429
84,4,1,911,52,3,2,943,27,3,2,968,8,2,3,987,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.365183248236011,0.802306060127961
74,4,1,921,45,4,1,950,28,3,2,967,13,3,2,982,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.343190501650974,0.728600314804347
52,4,1,943,32,4,1,963,16,4,1,979,4,4,1,991,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.329721395807914,0.683689285791619
87,4,1,908,60,4,1,935,34,3,2,961,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.383764049763721,0.748975324189026
70,2,3,925,48,2,3,947,27,1,4,968,9,1,4,986,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.422149767208756,0.751956787819331
